核警单编号	,报警原因	,处警结果	,事件编号	,用户级别	,口令	,用户编号	,单位负责人	,负责人手机	,用户名称	,用户地址	,事件类型	,事件描述	,报警时间	,报警位置	,接警时间	,接警员	,备注
2018073109550931043282363128	,111用户试机	,	,2018073109431400010000880526	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551248979308601668	,111用户试机	,	,2018073109441200010000880569	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:12	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551849301172054905	,111用户试机	,	,2018073109445400010000880530	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:54	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551812220571097922	,111用户试机	,	,2018073109445300010000880549	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:53	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551832200935576605	,111用户试机	,	,2018073109450800010000880540	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:08	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109551911239233000523	,111用户试机	,	,2018073109445900010000880521	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:59	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552187710241126066	,111用户试机	,	,2018073109452000010000880536	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552264568875807432	,111用户试机	,	,2018073109451400010000880594	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552446013238784656	,111用户试机	,	,2018072415391400010000880566	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-24 15:39:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552611871214686910	,111用户试机	,	,2018073109430000010000880555	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:00	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109552887986035447976	,111用户试机	,	,2018073109431200010000880520	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:12	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553096835579045426	,111用户试机	,	,2018073109432000010000880576	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553048590771081675	,111用户试机	,	,2018073109431800010000880552	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:18	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553096213791781235	,111用户试机	,	,2018073109432000010000880553	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553157421846423588	,111用户试机	,	,2018073109441900010000880587	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:19	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553435086802189928	,111用户试机	,	,2018073109444600010000880577	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:46	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553626191582377518	,111用户试机	,	,2018073109445000010000880546	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:50	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553880144392173992	,111用户试机	,	,2018073109425700010000880513	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:57	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109553992158424737145	,111用户试机	,	,2018073109430900010000880539	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:09	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554095401879346640	,111用户试机	,	,2018073109432000010000880577	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554196921042002630	,111用户试机	,	,2018073109432200010000880556	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:22	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554258594725360720	,111用户试机	,	,2018073109443300010000880599	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:33	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554481951359710684	,111用户试机	,	,2018073109445000010000880557	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:50	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554474978627631405	,111用户试机	,	,2018073109445400010000880580	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:54	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554574768372730803	,111用户试机	,	,2018073109450400010000880567	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:04	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554774474652102524	,111用户试机	,	,2018073109452000010000880519	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554748376402410476	,111用户试机	,	,2018073109452200010000880545	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:22	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554772975855854642	,111用户试机	,	,2018073109425600010000880560	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:56	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554839589127275277	,111用户试机	,	,2018073109430200010000880560	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:02	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554939730463335874	,111用户试机	,	,2018073109432300010000880535	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:23	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109554928235639467994	,111用户试机	,	,2018073109441100010000880583	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:11	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555099280357298426	,111用户试机	,	,2018073109441800010000880591	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:18	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555118468607996653	,111用户试机	,	,2018073109444300010000880584	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:43	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555293615615243582	,111用户试机	,	,2018073109442600010000880559	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:26	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555255191837149930	,111用户试机	,	,2018073109444700010000880530	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:47	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555233669343384646	,111用户试机	,	,2018073109444400010000880517	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:44	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555322384516382991	,111用户试机	,	,2018073109450200010000880571	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:02	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555568783833483960	,111用户试机	,	,2018073109451600010000880583	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:16	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555569661272787912	,111用户试机	,	,2018073109451100010000880540	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:11	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555686242093401399	,111用户试机	,	,2018073109425300010000880512	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:42:53	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555765534202646707	,111用户试机	,	,2018073109430000010000880530	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:00	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555769891961242536	,111用户试机	,	,2018073109431300010000880587	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:13	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555776482468330787	,111用户试机	,	,2018073109432200010000880582	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:43:22	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555813968743749789	,111用户试机	,	,2018073109441400010000880574	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555871509112959209	,111用户试机	,	,2018073109441900010000880585	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:19	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555998374393844199	,111用户试机	,	,2018073109441400010000880597	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:14	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555949849786489143	,111用户试机	,	,2018073109442500010000880514	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:25	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109555945394833171116	,111用户试机	,	,2018073109442000010000880568	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:20	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560099792205578897	,111用户试机	,	,2018073109443500010000880559	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:35	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560032699902252605	,111用户试机	,	,2018073109443700010000880591	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:37	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560112296269198651	,111用户试机	,	,2018073109444600010000880573	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:44:46	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560242478052883014	,111用户试机	,	,2018073109450600010000880518	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:06	,0001	,2018-07-31 09:55:05	,thlhd01	,	
2018073109560399771068140172	,111用户试机	,	,2018073109450000010000880571	,买断	,	,10000800B	,	,	,TT-10000800A:农行	,	,警报	,人工报警	,2018-07-31 09:45:00	,0001	,2018-07-31 09:55:05	,thlhd01	,	
